2025-05-28 00:23:10,749 - INFO - Firebase initialized successfully
2025-05-28 00:23:10,760 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 00:23:11,878 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:25:11,891 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 00:25:20,500 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:25:50,505 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 00:25:50,687 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:28:20,709 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 00:28:29,372 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:28:59,378 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 00:28:59,600 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:30:29,614 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 00:30:38,206 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:31:08,214 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 00:31:08,400 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:33:38,426 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 00:33:47,191 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:34:17,196 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 00:34:17,480 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:45:17,582 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 00:45:25,300 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:45:55,303 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 00:45:55,619 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:56:55,734 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 00:57:04,389 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 00:57:34,402 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 00:57:34,609 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 01:00:04,644 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 01:00:13,308 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 01:00:43,314 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=Galaxy F54 5G 647C
2025-05-28 01:00:43,519 - INFO - Stored IP 192.168.73.203 and SSID Galaxy F54 5G 647C for user CURRENT_USER_ID, device pebo_rpi_1
2025-05-28 01:02:13,532 - INFO - Wi-Fi change detected: IP=192.168.73.203, SSID=None
2025-05-28 01:02:22,114 - INFO - Stored IP 192.168.73.203 and SSID Unknown for user CURRENT_USER_ID, device pebo_rpi_1
